year,individualism,collectivism,tightness,looseness
1852,6.802944787790263e-05,0.00014107698229638897,1.0364420069614816e-05,7.19138135308566e-06
1853,6.78821466798699e-05,0.00014039369552522527,1.0294306160371239e-05,7.2954343326381285e-06
1854,6.754899425105114e-05,0.0001403362484130152,1.0195089518763975e-05,7.18991799247123e-06
1855,6.73904681762443e-05,0.00013979571755433947,1.0172552999928744e-05,7.213141992502241e-06
1856,6.632040857722034e-05,0.00013681512101421895,9.890694037600108e-06,6.97321624482423e-06
1857,6.582726004238688e-05,0.00013484342636209997,9.811886844244913e-06,6.965338946225101e-06
1858,6.547598299963145e-05,0.00013333596284123165,9.809105031674139e-06,6.939971664599825e-06
1859,6.538875455319726e-05,0.000132917258724774,9.729125732300352e-06,7.061370376942877e-06
1860,6.44698028641041e-05,0.0001313307426715125,9.575245053485202e-06,6.935196029337977e-06
1861,6.365657939661722e-05,0.0001298506968104058,9.535637666045563e-06,7.043344782019829e-06
1862,6.290725168587943e-05,0.0001274300982783773,9.245678625039286e-06,6.928677540700225e-06
1863,6.276447559144012e-05,0.00012719494035146845,9.283311138221149e-06,7.051179634917637e-06
1864,6.250702955945542e-05,0.0001261235788092563,9.098092581386449e-06,6.945755958428263e-06
1865,6.212665085745885e-05,0.00012652226484988205,8.997632227801335e-06,6.93475488027189e-06
1866,6.222928126474259e-05,0.0001255549827874347,8.799891812876532e-06,6.7335088544423495e-06
1867,6.23092346338743e-05,0.00012431762082444817,8.779857901686228e-06,6.706795443833395e-06
1868,6.182633554173224e-05,0.00012378576429585207,8.62645779317209e-06,6.515384402607556e-06
1869,6.144313595868311e-05,0.00012207913593036728,8.762985407478092e-06,6.5474152811332925e-06
1870,6.136213433143618e-05,0.00012120497759886866,8.669638083753333e-06,6.383056544753685e-06
1871,6.032631744292059e-05,0.00011957086135388246,8.629472519012487e-06,6.342351729451174e-06
1872,5.9610898255917686e-05,0.00011553429205995209,8.46861681377423e-06,6.132307500814061e-06
1873,5.80198470220442e-05,0.00011134272966728531,8.395845189568262e-06,6.054580567161984e-06
1874,5.715756666445161e-05,0.00010949057555568027,8.288038944012248e-06,5.8659970572432535e-06
1875,5.595367916606213e-05,0.00010597633465587413,8.217659106384596e-06,5.772936814345066e-06
1876,5.56066457012402e-05,0.00010494883442139065,8.12659326001608e-06,5.633334571111418e-06
1877,5.4814758754620895e-05,0.00010173469364157686,8.080144637493243e-06,5.563070317955919e-06
1878,5.450300927835526e-05,0.00010046625275046088,8.076610283274429e-06,5.452122402619624e-06
1879,5.429992519775543e-05,9.935594090393352e-05,8.07687069992775e-06,5.467388627710441e-06
1880,5.399291033469922e-05,9.81362844153669e-05,8.07275194877174e-06,5.345801752814389e-06
1881,5.36434182696967e-05,9.686853887355288e-05,8.145330320681004e-06,5.33044301013633e-06
1882,5.3958375894629694e-05,9.635250344380048e-05,8.186330901896862e-06,5.270261794190371e-06
1883,5.3946343109194974e-05,9.512415444338071e-05,8.209552052562686e-06,5.241302769352719e-06
1884,5.363963123881734e-05,9.52444581473953e-05,8.30635164536123e-06,5.207310489219582e-06
1885,5.360350602501285e-05,9.416765297893497e-05,8.36304136677362e-06,5.2354577107913535e-06
1886,5.364532498016875e-05,9.364574262755403e-05,8.414455984708167e-06,5.212849863221537e-06
1887,5.374025580806574e-05,9.311276363632714e-05,8.455090172836728e-06,5.222890302000738e-06
1888,5.355738623283709e-05,9.25520620691194e-05,8.38175664463441e-06,5.18195680010535e-06
1889,5.3709155268271456e-05,9.209626510450368e-05,8.425914613040067e-06,5.223265837609102e-06
1890,5.369539283098642e-05,9.131802061444562e-05,8.342056190104228e-06,5.205197120034573e-06
1891,5.39617243496033e-05,9.074613755696452e-05,8.285690467703586e-06,5.229954778976959e-06
1892,5.4016764658675645e-05,9.081656704828285e-05,8.256473106119497e-06,5.175524181230089e-06
1893,5.3893571140812515e-05,9.023604739663175e-05,8.164418217049274e-06,5.093288711897705e-06
1894,5.3849542561173234e-05,9.062539771775846e-05,8.183691333586904e-06,5.079927745370107e-06
1895,5.407388989299631e-05,8.931338672774862e-05,8.220113720699577e-06,5.06362065648711e-06
1896,5.434143283520955e-05,8.891845124026077e-05,8.139031920834887e-06,5.016685950499922e-06
1897,5.468997961039739e-05,8.782717468745562e-05,8.107703793948571e-06,4.9784619946799394e-06
1898,5.458837871685773e-05,8.666797940902273e-05,8.08547858994757e-06,4.8913234454881725e-06
1899,5.461795508868558e-05,8.498531743076196e-05,8.013697490356314e-06,4.858173956072608e-06
1900,5.465186580165339e-05,8.321909919167021e-05,7.95667222150647e-06,4.793513377136198e-06
1901,5.51419791666571e-05,8.173407595027779e-05,7.90266521966438e-06,4.760888626615627e-06
1902,5.523845390850316e-05,8.163589199382062e-05,7.90852825672975e-06,4.729777255714991e-06
1903,5.5284223181826875e-05,8.107513584881027e-05,7.924419196620696e-06,4.698051304714251e-06
1904,5.5218721543935446e-05,8.100366573314333e-05,7.93865099592799e-06,4.662200071585211e-06
1905,5.5658779461152464e-05,8.009825123573526e-05,7.89407129909238e-06,4.648892575246207e-06
1906,5.631524060082224e-05,8.000113653646881e-05,7.91051672237586e-06,4.654597627362049e-06
1907,5.671408746772093e-05,8.001583081197947e-05,7.956783058078137e-06,4.684591611988007e-06
1908,5.671895079980719e-05,7.993534939844591e-05,7.92955285920779e-06,4.683065732016029e-06
1909,5.752383222150976e-05,7.987937437649504e-05,7.906251250869697e-06,4.677177295786638e-06
1910,5.8081364094115475e-05,7.979688054352403e-05,7.868541947405765e-06,4.680268329202867e-06
1911,5.8638803454057e-05,7.963132686329897e-05,7.87436991876841e-06,4.686728542736432e-06
1912,5.898569289440404e-05,8.029584348280747e-05,7.911493302246798e-06,4.708315686779589e-06
1913,5.937658301848257e-05,8.01903694309658e-05,7.858783363610756e-06,4.6990108237074786e-06
1914,6.0140427186589864e-05,8.037107619429662e-05,7.856721793166242e-06,4.756294098034027e-06
1915,6.138307021176712e-05,7.995107649451581e-05,7.838413277776774e-06,4.825842607106378e-06
1916,6.232357615739863e-05,7.936474098154837e-05,7.73684839786729e-06,4.905146346806487e-06
1917,6.303136527614177e-05,7.812779485659251e-05,7.630753671631194e-06,4.931003005693494e-06
1918,6.362591618978643e-05,7.821080252564831e-05,7.5239127367256376e-06,4.9595262248499204e-06
1919,6.447050794885659e-05,7.672249213896976e-05,7.354217282110451e-06,4.966232754584057e-06
1920,6.51500417794588e-05,7.576395660180424e-05,7.2109423689324454e-06,4.969940984633869e-06
